  t            X            Y             S            V            TE 
       с          км          км            км          м/с         град

   0.001     0.000     0.000       0.000    271.982       65.0 
   0.271     0.031     0.066       0.073    268.720       64.8 
   0.541     0.062     0.132       0.146    265.491       64.5 
   0.811     0.093     0.196       0.217    262.292       64.3 
   1.081     0.124     0.259       0.287    259.125       64.0 
   1.351     0.154     0.322       0.357    255.988       63.8 
   1.621     0.185     0.383       0.425    252.880       63.5 
   1.891     0.215     0.444       0.493    249.802       63.2 
   2.161     0.245     0.504       0.560    246.752       62.9 
   2.431     0.276     0.563       0.626    243.733       62.7 
   2.701     0.306     0.621       0.692    240.739       62.4 
   2.971     0.336     0.678       0.756    237.772       62.1 
   3.241     0.366     0.734       0.820    234.829       61.8 
   3.511     0.396     0.789       0.883    231.911       61.5 
   3.781     0.426     0.844       0.945    229.018       61.1 
   4.051     0.456     0.898       1.007    226.150       60.8 
   4.321     0.485     0.951       1.068    223.305       60.5 
   4.591     0.515     1.003       1.128    220.484       60.2 
   4.861     0.545     1.054       1.187    217.687       59.8 
   5.131     0.574     1.104       1.245    214.913       59.5 
   5.401     0.604     1.154       1.303    212.163       59.1 
   5.671     0.633     1.203       1.360    209.435       58.7 
   5.941     0.662     1.251       1.416    206.731       58.3 
   6.211     0.692     1.298       1.471    204.049       58.0 
   6.481     0.721     1.344       1.526    201.390       57.6 
   6.751     0.750     1.389       1.580    198.755       57.1 
   7.021     0.779     1.434       1.633    196.141       56.7 
   7.291     0.808     1.478       1.686    193.551       56.3 
   7.561     0.837     1.521       1.738    190.984       55.9 
   7.831     0.866     1.563       1.789    188.439       55.4 
   8.101     0.895     1.605       1.840    185.918       54.9 
   8.371     0.924     1.646       1.889    183.419       54.5 
   8.641     0.952     1.685       1.939    180.944       54.0 
   8.911     0.981     1.725       1.987    178.493       53.5 
   9.181     1.010     1.763       2.035    176.065       53.0 
   9.451     1.038     1.800       2.082    173.661       52.4 
   9.721     1.067     1.837       2.129    171.281       51.9 
   9.991     1.095     1.873       2.175    168.926       51.4 
  10.261     1.124     1.908       2.220    166.595       50.8 
  10.531     1.152     1.943       2.265    164.290       50.2 
  10.801     1.181     1.977       2.309    162.010       49.6 
  11.071     1.209     2.010       2.352    159.757       49.0 
  11.341     1.237     2.042       2.395    157.530       48.4 
  11.611     1.265     2.073       2.437    155.330       47.7 
  11.881     1.294     2.104       2.479    153.157       47.0 
  12.151     1.322     2.134       2.520    151.013       46.4 
  12.421     1.350     2.163       2.560    148.898       45.7 
  12.691     1.378     2.191       2.600    146.812       44.9 
  12.961     1.406     2.219       2.640    144.756       44.2 
  13.231     1.434     2.246       2.678    142.731       43.4 
  13.501     1.462     2.272       2.717    140.738       42.7 
  13.771     1.490     2.297       2.754    138.778       41.8 
  14.041     1.518     2.322       2.792    136.851       41.0 
  14.311     1.546     2.346       2.828    134.958       40.2 
  14.581     1.574     2.369       2.865    133.101       39.3 
  14.851     1.601     2.391       2.900    131.280       38.4 
  15.121     1.629     2.413       2.935    129.497       37.5 
  15.391     1.657     2.434       2.970    127.752       36.6 
  15.661     1.685     2.454       3.004    126.047       35.6 
  15.931     1.712     2.473       3.038    124.383       34.6 
  16.201     1.740     2.492       3.072    122.761       33.6 
  16.471     1.767     2.510       3.105    121.182       32.5 
  16.741     1.795     2.527       3.137    119.648       31.5 
  17.011     1.823     2.544       3.169    118.161       30.4 
  17.281     1.850     2.560       3.201    116.720       29.3 
  17.551     1.877     2.575       3.232    115.329       28.1 
  17.821     1.905     2.589       3.263    113.987       26.9 
  18.091     1.932     2.602       3.294    112.698       25.7 
  18.361     1.960     2.615       3.324    111.461       24.5 
  18.631     1.987     2.627       3.354    110.279       23.3 
  18.901     2.014     2.639       3.384    109.153       22.0 
  19.171     2.042     2.650       3.413    108.084       20.7 
  19.441     2.069     2.659       3.442    107.074       19.4 
  19.711     2.096     2.669       3.471    106.125       18.0 
  19.981     2.124     2.677       3.499    105.236       16.7 
  20.251     2.151     2.685       3.528    104.411       15.3 
  20.521     2.178     2.692       3.556    103.649       13.9 
  20.791     2.205     2.698       3.584    102.953       12.4 
  21.061     2.232     2.704       3.611    102.322       11.0 
  21.331     2.259     2.709       3.639    101.759        9.5 
  21.601     2.286     2.713       3.666    101.264        8.0 
  21.871     2.314     2.717       3.693    100.837        6.6 
  22.141     2.341     2.719       3.721    100.479        5.1 
  22.411     2.368     2.721       3.748    100.191        3.5 
  22.681     2.395     2.723       3.775     99.973        2.0 
  22.951     2.421     2.723       3.802     99.826        0.5 
  23.221     2.448     2.723       3.829     99.748       -1.0 
  23.491     2.475     2.722       3.856     99.741       -2.5 
  23.761     2.502     2.721       3.883     99.804       -4.0 
  24.031     2.529     2.719       3.910     99.936       -5.5 
  24.301     2.556     2.716       3.937    100.138       -7.1 
  24.571     2.583     2.712       3.964    100.408       -8.6 
  24.841     2.610     2.708       3.991    100.745      -10.0 
  25.111     2.636     2.702       4.018    101.149      -11.5 
  25.381     2.663     2.697       4.045    101.619      -13.0 
  25.651     2.690     2.690       4.073    102.153      -14.4 
  25.921     2.717     2.683       4.101    102.750      -15.8 
  26.191     2.743     2.675       4.128    103.409      -17.3 
  26.461     2.770     2.666       4.156    104.128      -18.6 
  26.731     2.796     2.657       4.185    104.907      -20.0 
  27.001     2.823     2.647       4.213    105.742      -21.4 
  27.271     2.850     2.636       4.242    106.633      -22.7 
  27.541     2.876     2.625       4.271    107.579      -24.0 
  27.811     2.903     2.613       4.300    108.576      -25.3 
  28.081     2.929     2.600       4.329    109.624      -26.5 
  28.351     2.956     2.586       4.359    110.721      -27.7 
  28.621     2.982     2.572       4.389    111.865      -28.9 
  28.891     3.009     2.557       4.419    113.055      -30.1 
  29.161     3.035     2.541       4.450    114.288      -31.3 
  29.431     3.061     2.525       4.481    115.564      -32.4 
  29.701     3.088     2.508       4.513    116.879      -33.5 
  29.971     3.114     2.490       4.544    118.233      -34.5 
  30.241     3.140     2.472       4.576    119.624      -35.6 
  30.511     3.167     2.452       4.609    121.051      -36.6 
  30.781     3.193     2.433       4.642    122.511      -37.6 
  31.051     3.219     2.412       4.675    124.004      -38.6 
  31.321     3.245     2.391       4.709    125.528      -39.5 
  31.591     3.271     2.369       4.743    127.080      -40.4 
  31.861     3.297     2.346       4.777    128.661      -41.3 
  32.131     3.323     2.323       4.812    130.268      -42.2 
  32.401     3.349     2.299       4.848    131.901      -43.0 
  32.671     3.375     2.275       4.884    133.558      -43.9 
  32.941     3.401     2.249       4.920    135.237      -44.7 
  33.211     3.427     2.223       4.957    136.937      -45.5 
  33.481     3.453     2.196       4.994    138.658      -46.2 
  33.751     3.479     2.169       5.032    140.398      -47.0 
  34.021     3.505     2.141       5.070    142.157      -47.7 
